BO-ireland-new26,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec26,bo-new-ireland-ike26,10.3.248.26,,,ipaddr,10.3.248.26,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new27,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec27,bo-new-ireland-ike27,10.3.248.27,,,ipaddr,10.3.248.27,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new28,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec28,bo-new-ireland-ike28,10.3.248.28,,,ipaddr,10.3.248.28,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new29,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec29,bo-new-ireland-ike29,10.3.248.29,,,ipaddr,10.3.248.29,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new30,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec30,bo-new-ireland-ike30,10.3.248.30,,,ipaddr,10.3.248.30,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new31,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec31,bo-new-ireland-ike31,10.3.248.31,,,ipaddr,10.3.248.31,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new32,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec32,bo-new-ireland-ike32,10.3.248.32,,,ipaddr,10.3.248.32,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new33,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec33,bo-new-ireland-ike33,10.3.248.33,,,ipaddr,10.3.248.33,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new34,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec34,bo-new-ireland-ike34,10.3.248.34,,,ipaddr,10.3.248.34,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new35,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec35,bo-new-ireland-ike35,10.3.248.35,,,ipaddr,10.3.248.35,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new36,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec36,bo-new-ireland-ike36,10.3.248.36,,,ipaddr,10.3.248.36,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new37,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec37,bo-new-ireland-ike37,10.3.248.37,,,ipaddr,10.3.248.37,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new38,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec38,bo-new-ireland-ike38,10.3.248.38,,,ipaddr,10.3.248.38,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new39,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec39,bo-new-ireland-ike39,10.3.248.39,,,ipaddr,10.3.248.39,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new40,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec40,bo-new-ireland-ike40,10.3.248.40,,,ipaddr,10.3.248.40,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new41,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec41,bo-new-ireland-ike41,10.3.248.41,,,ipaddr,10.3.248.41,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new42,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec42,bo-new-ireland-ike42,10.3.248.42,,,ipaddr,10.3.248.42,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new43,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec43,bo-new-ireland-ike43,10.3.248.43,,,ipaddr,10.3.248.43,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new44,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec44,bo-new-ireland-ike44,10.3.248.44,,,ipaddr,10.3.248.44,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new45,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec45,bo-new-ireland-ike45,10.3.248.45,,,ipaddr,10.3.248.45,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new46,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec46,bo-new-ireland-ike46,10.3.248.46,,,ipaddr,10.3.248.46,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new47,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec47,bo-new-ireland-ike47,10.3.248.47,,,ipaddr,10.3.248.47,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new48,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec48,bo-new-ireland-ike48,10.3.248.48,,,ipaddr,10.3.248.48,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new49,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec49,bo-new-ireland-ike49,10.3.248.49,,,ipaddr,10.3.248.49,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new50,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec50,bo-new-ireland-ike50,10.3.248.50,,,ipaddr,10.3.248.50,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new51,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec51,bo-new-ireland-ike51,10.3.248.51,,,ipaddr,10.3.248.51,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new52,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec52,bo-new-ireland-ike52,10.3.248.52,,,ipaddr,10.3.248.52,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new53,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec53,bo-new-ireland-ike53,10.3.248.53,,,ipaddr,10.3.248.53,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new54,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec54,bo-new-ireland-ike54,10.3.248.54,,,ipaddr,10.3.248.54,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new55,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec55,bo-new-ireland-ike55,10.3.248.55,,,ipaddr,10.3.248.55,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new56,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec56,bo-new-ireland-ike56,10.3.248.56,,,ipaddr,10.3.248.56,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new57,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec57,bo-new-ireland-ike57,10.3.248.57,,,ipaddr,10.3.248.57,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new58,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec58,bo-new-ireland-ike58,10.3.248.58,,,ipaddr,10.3.248.58,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new59,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec59,bo-new-ireland-ike59,10.3.248.59,,,ipaddr,10.3.248.59,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new60,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec60,bo-new-ireland-ike60,10.3.248.60,,,ipaddr,10.3.248.60,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new61,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec61,bo-new-ireland-ike61,10.3.248.61,,,ipaddr,10.3.248.61,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new62,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec62,bo-new-ireland-ike62,10.3.248.62,,,ipaddr,10.3.248.62,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new63,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec63,bo-new-ireland-ike63,10.3.248.63,,,ipaddr,10.3.248.63,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new64,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec64,bo-new-ireland-ike64,10.3.248.64,,,ipaddr,10.3.248.64,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new65,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec65,bo-new-ireland-ike65,10.3.248.65,,,ipaddr,10.3.248.65,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new66,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec66,bo-new-ireland-ike66,10.3.248.66,,,ipaddr,10.3.248.66,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new67,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec67,bo-new-ireland-ike67,10.3.248.67,,,ipaddr,10.3.248.67,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new68,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec68,bo-new-ireland-ike68,10.3.248.68,,,ipaddr,10.3.248.68,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new69,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec69,bo-new-ireland-ike69,10.3.248.69,,,ipaddr,10.3.248.69,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new70,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec70,bo-new-ireland-ike70,10.3.248.70,,,ipaddr,10.3.248.70,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new71,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec71,bo-new-ireland-ike71,10.3.248.71,,,ipaddr,10.3.248.71,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new72,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec72,bo-new-ireland-ike72,10.3.248.72,,,ipaddr,10.3.248.72,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new73,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec73,bo-new-ireland-ike73,10.3.248.73,,,ipaddr,10.3.248.73,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new74,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec74,bo-new-ireland-ike74,10.3.248.74,,,ipaddr,10.3.248.74,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new75,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec75,bo-new-ireland-ike75,10.3.248.75,,,ipaddr,10.3.248.75,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new76,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec76,bo-new-ireland-ike76,10.3.248.76,,,ipaddr,10.3.248.76,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new77,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec77,bo-new-ireland-ike77,10.3.248.77,,,ipaddr,10.3.248.77,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new78,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec78,bo-new-ireland-ike78,10.3.248.78,,,ipaddr,10.3.248.78,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new79,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec79,bo-new-ireland-ike79,10.3.248.79,,,ipaddr,10.3.248.79,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new80,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec80,bo-new-ireland-ike80,10.3.248.80,,,ipaddr,10.3.248.80,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new81,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec81,bo-new-ireland-ike81,10.3.248.81,,,ipaddr,10.3.248.81,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new82,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec82,bo-new-ireland-ike82,10.3.248.82,,,ipaddr,10.3.248.82,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new83,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec83,bo-new-ireland-ike83,10.3.248.83,,,ipaddr,10.3.248.83,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new84,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec84,bo-new-ireland-ike84,10.3.248.84,,,ipaddr,10.3.248.84,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new85,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec85,bo-new-ireland-ike85,10.3.248.85,,,ipaddr,10.3.248.85,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new86,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec86,bo-new-ireland-ike86,10.3.248.86,,,ipaddr,10.3.248.86,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new87,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec87,bo-new-ireland-ike87,10.3.248.87,,,ipaddr,10.3.248.87,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new88,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec88,bo-new-ireland-ike88,10.3.248.88,,,ipaddr,10.3.248.88,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new89,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec89,bo-new-ireland-ike89,10.3.248.89,,,ipaddr,10.3.248.89,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new90,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec90,bo-new-ireland-ike90,10.3.248.90,,,ipaddr,10.3.248.90,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new91,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec91,bo-new-ireland-ike91,10.3.248.91,,,ipaddr,10.3.248.91,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new92,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec92,bo-new-ireland-ike92,10.3.248.92,,,ipaddr,10.3.248.92,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new93,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec93,bo-new-ireland-ike93,10.3.248.93,,,ipaddr,10.3.248.93,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new94,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec94,bo-new-ireland-ike94,10.3.248.94,,,ipaddr,10.3.248.94,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new95,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec95,bo-new-ireland-ike95,10.3.248.95,,,ipaddr,10.3.248.95,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new96,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec96,bo-new-ireland-ike96,10.3.248.96,,,ipaddr,10.3.248.96,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new97,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec97,bo-new-ireland-ike97,10.3.248.97,,,ipaddr,10.3.248.97,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new98,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec98,bo-new-ireland-ike98,10.3.248.98,,,ipaddr,10.3.248.98,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new99,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec99,bo-new-ireland-ike99,10.3.248.99,,,ipaddr,10.3.248.99,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new100,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec100,bo-new-ireland-ike100,10.3.248.100,,,ipaddr,10.3.248.100,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new101,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec101,bo-new-ireland-ike101,10.3.248.101,,,ipaddr,10.3.248.101,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new102,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec102,bo-new-ireland-ike102,10.3.248.102,,,ipaddr,10.3.248.102,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new103,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec103,bo-new-ireland-ike103,10.3.248.103,,,ipaddr,10.3.248.103,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new104,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec104,bo-new-ireland-ike104,10.3.248.104,,,ipaddr,10.3.248.104,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new105,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec105,bo-new-ireland-ike105,10.3.248.105,,,ipaddr,10.3.248.105,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new106,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec106,bo-new-ireland-ike106,10.3.248.106,,,ipaddr,10.3.248.106,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new107,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec107,bo-new-ireland-ike107,10.3.248.107,,,ipaddr,10.3.248.107,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new108,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec108,bo-new-ireland-ike108,10.3.248.108,,,ipaddr,10.3.248.108,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new109,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec109,bo-new-ireland-ike109,10.3.248.109,,,ipaddr,10.3.248.109,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new110,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec110,bo-new-ireland-ike110,10.3.248.110,,,ipaddr,10.3.248.110,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new111,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec111,bo-new-ireland-ike111,10.3.248.111,,,ipaddr,10.3.248.111,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new112,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec112,bo-new-ireland-ike112,10.3.248.112,,,ipaddr,10.3.248.112,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new113,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec113,bo-new-ireland-ike113,10.3.248.113,,,ipaddr,10.3.248.113,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new114,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec114,bo-new-ireland-ike114,10.3.248.114,,,ipaddr,10.3.248.114,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new115,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec115,bo-new-ireland-ike115,10.3.248.115,,,ipaddr,10.3.248.115,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new116,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec116,bo-new-ireland-ike116,10.3.248.116,,,ipaddr,10.3.248.116,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new117,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec117,bo-new-ireland-ike117,10.3.248.117,,,ipaddr,10.3.248.117,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new118,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec118,bo-new-ireland-ike118,10.3.248.118,,,ipaddr,10.3.248.118,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new119,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec119,bo-new-ireland-ike119,10.3.248.119,,,ipaddr,10.3.248.119,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new120,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec120,bo-new-ireland-ike120,10.3.248.120,,,ipaddr,10.3.248.120,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new121,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec121,bo-new-ireland-ike121,10.3.248.121,,,ipaddr,10.3.248.121,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new122,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec122,bo-new-ireland-ike122,10.3.248.122,,,ipaddr,10.3.248.122,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new123,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec123,bo-new-ireland-ike123,10.3.248.123,,,ipaddr,10.3.248.123,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new124,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec124,bo-new-ireland-ike124,10.3.248.124,,,ipaddr,10.3.248.124,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new125,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec125,bo-new-ireland-ike125,10.3.248.125,,,ipaddr,10.3.248.125,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new126,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec126,bo-new-ireland-ike126,10.3.248.126,,,ipaddr,10.3.248.126,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new127,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec127,bo-new-ireland-ike127,10.3.248.127,,,ipaddr,10.3.248.127,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new128,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec128,bo-new-ireland-ike128,10.3.248.128,,,ipaddr,10.3.248.128,192.168.3.6/32,,no,,,,,,,,,
